"Arizona Department of Corrections","...2","...4","...6","...7","...8","...10","...12","...14","...15","...16","...18","...20","...22"
"FY 2015","1.1","0.7",NA,"1.0",NA,"1.0","0.6",NA,"0.9",NA,"5.0","3.0","5.0"
"FY2016","1.2","0.7",NA,"1.1",NA,"1.1","0.6",NA,"1.0",NA,"5.0","3.1","4.8"
"FY2017","1.2","0.8",NA,"1.1",NA,"1.2","0.7",NA,"1.2",NA,"5.2","3.1","4.9"
"FY2018","1.3","0.7",NA,"1.2",NA,"1.3","0.7",NA,"1.2",NA,"5.3","3.2","5.0"
"FY2019","1.3","0.9",NA,"1.3",NA,"1.3","0.7",NA,"1.2",NA,"5.3","3.0","5.0"
"FY2020","1.4","0.9",NA,"1.3",NA,"1.3","0.8",NA,"1.2",NA,"5.5","3.4","5.2"
NA,"              Admissions - FY 2020              ",NA,NA,NA,"                Releases - FY 2020                ",NA,NA,NA,NA,"Confined Population as of June 30, 2020",NA,NA,NA
NA,"Male","Female",NA,"Total",NA,"Male","Female",NA,"Total",NA,"Male","Female","Total"
"Gender #","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Gender %","84.4%","15.6%",NA,"100.0%",NA,"84.7%","15.3%",NA,"100.0%",NA,"90.0%","10.0%","100.0%"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Average Age","35.8","35.4",NA,"35.8",NA,"37.4","36.4",NA,"37.3",NA,"39.5","37.8","39.3"
"Age Distribution #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"< 18 Years","64","7",NA,"71",NA,"15","2",NA,"17",NA,"44","4","48"
"18-24 Years","1,756","284",NA,"2,040",NA,"1,419","234",NA,"1,653",NA,"2,774","275","3,049"
"25-39 Years","7,158","1,424",NA,"8,582",NA,"8,018","1,591",NA,"9,609",NA,"17,585","2,212","19,797"
"40-54 Years","3,192","599",NA,"3,791",NA,"4,148","715",NA,"4,863",NA,"11,079","1,214","12,293"
"55+ Years","966","122",NA,"1,088",NA,"1,338","162",NA,"1,500",NA,"4,663","301","4,964"
"Total","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Age Distribution %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"< 18 Years","0.5%","0.3%",NA,"0.5%",NA,"0.1%","0.1%",NA,"0.1%",NA,"0.1%","0.1%","0.1%"
"18-24 Years","13.4%","11.7%",NA,"13.1%",NA,"9.5%","8.7%",NA,"9.4%",NA,"7.7%","6.9%","7.6%"
"25-39 Years","54.5%","58.5%",NA,"55.1%",NA,"53.7%","58.8%",NA,"54.5%",NA,"48.7%","55.2%","49.3%"
"40-54 Years","24.3%","24.6%",NA,"24.3%",NA,"27.8%","26.4%",NA,"27.6%",NA,"30.7%","30.3%","30.6%"
"55+ Years","7.4%","5.0%",NA,"7.0%",NA,"9.0%","6.0%",NA,"8.5%",NA,"12.9%","7.5%","12.4%"
"Total","100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%","100.0%"
"Felony History #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prior Felony History #","7,529","1,397",NA,"8,926",NA,"9,991","1,954",NA,"11,945",NA,"23,266","2,734","26,000"
"No Prior Felony History #","5,607","1,039",NA,"6,646",NA,"4,947","750",NA,"5,697",NA,"12,879","1,272","14,151"
"Total","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Felony History %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prior Felony History %","57.3%","57.3%",NA,"57.3%",NA,"66.9%","72.3%",NA,"67.7%",NA,"64.4%","68.2%","64.8%"
"No Prior Felony History %","42.7%","42.7%",NA,"42.7%",NA,"33.1%","27.7%",NA,"32.3%",NA,"35.6%","31.8%","35.2%"
"Total","100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%","100.0%"
"Prison History #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prior ADC Prison Term #","6,791","1,585",NA,"8,376",NA,"7,569","965",NA,"8,534",NA,"18,634","1,650","20,284"
"No Prior ADC Prison Term #","6,345","851",NA,"7,196",NA,"7,369","1,739",NA,"9,108",NA,"17,511","2,356","19,867"
"Total","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Prison History %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prior ADC Prison Term %","51.7%","65.1%",NA,"49.1%",NA,"50.7%","35.7%",NA,"48.4%",NA,"51.6%","41.2%","50.5%"
"No Prior ADC Prison Term %","48.3%","34.9%",NA,"50.9%",NA,"49.3%","64.3%",NA,"51.6%",NA,"48.4%","58.8%","49.5%"
"Total","100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%","100.0%"
"Criminal History # (current and/or prior offenses)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violent History","2,624","250",NA,"2,874",NA,"2,615","267",NA,"2,882",NA,"4,522","234","4,756"
"Current Violent","4,461","414",NA,"4,875",NA,"5,113","425",NA,"5,538",NA,"20,342","1,297","21,639"
"Non-Violent #","6,051","1,772",NA,"7,823",NA,"7,210","2,012",NA,"9,222",NA,"11,281","2,475","13,756"
"Total","13,136","2,436",NA,"15,572",NA,"14,938","2,704",NA,"17,642",NA,"36,145","4,006","40,151"
"Criminal History % (current and/or prior offenses)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violent %","53.9%","27.3%",NA,"49.8%",NA,"51.7%","25.6%",NA,"47.7%",NA,"68.8%","38.2%","65.7%"
"Non-Violent %","46.1%","72.7%",NA,"50.2%",NA,"48.3%","74.4%",NA,"52.3%",NA,"31.2%","61.8%","34.3%"
"Total","100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%",NA,"100.0%",NA,"100.0%","100.0%","100.0%"
"Arizona Department of Corrections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Admissions, Releases, Confined Population Fact Sheet FY2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"                       Admissions                      ",NA,NA,NA,NA,"                        Releases                        ",NA,NA," End of Fiscal Year Confined Population",NA,NA,NA
NA,"Male","Female","Total",NA,NA,"Male","Female","Total",NA,NA,"Male","Female","Total"
"* Felony Class #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felony Class 1","136","15","151",NA,NA,"99","12","111",NA,NA,"1,930","176","2,106"
"Felony Class 2","1,853","283","2,136",NA,NA,"1,945","237","2,182",NA,NA,"12,005","1,173","13,178"
"Felony Class 3","2,594","378","2,972",NA,NA,"3,218","392","3,610",NA,NA,"9,196","967","10,163"
"Felony Class 4","5,460","1,017","6,477",NA,NA,"6,087","1,224","7,311",NA,NA,"9,863","1,318","11,181"
"Felony Class 5","1,022","157","1,179",NA,NA,"1,170","164","1,334",NA,NA,"1,629","173","1,802"
"Felony Class 6","2,050","577","2,627",NA,NA,"2,399","671","3,070",NA,NA,"1,409","193","1,602"
"Total","13,115","2,427","15,542",NA,NA,"14,918","2,700","17,618",NA,NA,"36,031","4,000","40,031"
"Felony Class %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felony Class 1","1.0%","0.6%","1.0%",NA,NA,"0.7%","0.4%","0.6%",NA,NA,"5.4%","4.4%","5.3%"
"Felony Class 2","14.1%","11.7%","13.7%",NA,NA,"13.0%","8.8%","12.4%",NA,NA,"33.3%","29.3%","32.9%"
"Felony Class 3","19.8%","15.6%","19.1%",NA,NA,"21.6%","14.5%","20.5%",NA,NA,"25.5%","24.2%","25.4%"
"Felony Class 4","41.6%","41.9%","41.7%",NA,NA,"40.8%","45.3%","41.5%",NA,NA,"27.4%","33.0%","27.9%"
"Felony Class 5","7.8%","6.5%","7.6%",NA,NA,"7.8%","6.1%","7.6%",NA,NA,"4.5%","4.3%","4.5%"
"Felony Class 6","15.6%","23.8%","16.9%",NA,NA,"16.1%","24.9%","17.4%",NA,NA,"3.9%","4.8%","4.0%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"Admit Type #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Court Commitments","9,275","1,507","10,782",NA,NA,"10,272","1,630","11,902",NA,NA,"33,371","3,496","36,867"
"County Probationers Revoked","1,517","570","2,087",NA,NA,"2,046","647","2,693",NA,NA,"1,772","444","2,216"
"ADC Paroles Revoked","2,071","341","2,412",NA,NA,"2,449","408","2,857",NA,NA,"545","50","595"
"Other","273","18","291",NA,NA,"171","19","190",NA,NA,"457","16","473"
"Total","13,136","2,436","15,572",NA,NA,"14,938","2,704","17,642",NA,NA,"36,145","4,006","40,151"
"Admit Type %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Court Commitments","70.6%","61.9%","69.2%",NA,NA,"68.8%","60.3%","67.5%",NA,NA,"92.3%","87.3%","91.8%"
"County Probationers Revoked","11.5%","23.4%","13.4%",NA,NA,"13.7%","23.9%","15.3%",NA,NA,"4.9%","11.1%","5.5%"
"ADC Paroles Revoked","15.8%","14.0%","15.5%",NA,NA,"16.4%","15.1%","16.2%",NA,NA,"1.5%","1.2%","1.5%"
"Other","2.1%","0.7%","1.9%",NA,NA,"1.1%","0.7%","1.1%",NA,NA,"1.3%","0.4%","1.2%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.00%","100.00%","100.00%",NA,NA,"100.0%","100.0%","100.0%"
"County of Conviction #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maricopa County","7,499","1,272","8,771",NA,NA,"8,762","1,481","10,243",NA,NA,"22,626","2,307","24,933"
"Pima County","1,702","254","1,956",NA,NA,"2,040","292","2,332",NA,NA,"4,441","324","4,765"
"Other Counties","3,935","910","4,845",NA,NA,"4,136","931","5,067",NA,NA,"9,078","1,375","10,453"
"Total","13,136","2,436","15,572",NA,NA,"14,938","2,704","17,642",NA,NA,"36,145","4,006","40,151"
"County of Conviction %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maricopa County","57.1%","52.2%","56.3%",NA,NA,"58.7%","54.8%","58.1%",NA,NA,"62.6%","57.6%","62.1%"
"Pima County","13.0%","10.4%","12.6%",NA,NA,"13.7%","10.8%","13.2%",NA,NA,"12.3%","8.1%","11.9%"
"Other Counties","30.0%","37.4%","31.1%",NA,NA,"27.7%","34.4%","28.7%",NA,NA,"25.1%","34.3%","26.0%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.00%","100.00%","100.00%",NA,NA,"100.0%","100.0%","100.0%"
"* Citizenship #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Citizens #","12,460","2,376","14,836",NA,NA,"13,841","2,618","16,459",NA,NA,"33,609","3,922","37,531"
"Criminal Aliens #","676","60","736",NA,NA,"996","72","1,068",NA,NA,"2,502","84","2,586"
"Total","13,136","2,436","15,572",NA,NA,"14,837","2,690","17,527",NA,NA,"36,111","4,006","40,117"
"Citizenship %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"US Citizens %","94.9%","97.5%","95.3%",NA,NA,"93.3%","97.3%","93.9%",NA,NA,"93.1%","97.9%","93.6%"
"Criminal Aliens %","5.1%","2.5%","4.7%",NA,NA,"6.7%","2.7%","6.1%",NA,NA,"6.9%","2.1%","6.4%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"* Substance Abuse History #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 0: No need","1,228","89","1,317",NA,NA,"839","76","915",NA,NA,"6,175","221","6,396"
"Score 1: Need for education but not treatment","715","57","772",NA,NA,"574","48","622",NA,NA,"2,934","155","3,089"
"Score 2: Moderate need for treatment","2,890","335","3,225",NA,NA,"2,287","276","2,563",NA,NA,"7,795","539","8,334"
"Score 3: Intense need for treatment","7,469","1,757","9,226",NA,NA,"5,847","1,352","7,199",NA,NA,"19,239","3,091","22,330"
"Total","12,302","2,238","14,540",NA,NA,"9,547","1,752","11,299",NA,NA,"36,144","4,006","40,150"
"Substance Abuse History %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 0: No need","10.0%","4.0%","9.1%",NA,NA,"8.8%","4.3%","8.1%",NA,NA,"17.1%","5.5%","15.9%"
"Score 1: Need for education but not treatment","5.8%","2.5%","5.3%",NA,NA,"6.0%","2.7%","5.5%",NA,NA,"8.1%","3.9%","7.7%"
"Score 2: Moderate need for treatment","23.5%","15.0%","22.2%",NA,NA,"24.0%","15.8%","22.7%",NA,NA,"21.6%","13.5%","20.8%"
"Score 3: Intense need for treatment","60.7%","78.5%","63.5%",NA,NA,"61.2%","77.2%","63.7%",NA,NA,"53.2%","77.2%","55.6%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"Arizona Department of Corrections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Admissions, Releases, Confined Population Fact Sheet FY2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"                       Admissions                      ",NA,NA,NA,NA,"                        Releases                        ",NA,NA," End of Fiscal Year Confined Population",NA,NA,NA
NA,"Male","Female","Total",NA,NA,"Male","Female","Total",NA,NA,"Male","Female","Total"
"Gang Affiliation #  STG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes #","73","4","77",NA,NA,"115","6","121",NA,NA,"4,097","46","4,143"
"No #","13,063","2,432","15,495",NA,NA,"14,823","2,698","17,521",NA,NA,"32,048","3,960","36,008"
"Total","13,136","2,436","15,572",NA,NA,"14,938","2,704","17,642",NA,NA,"36,145","4,006","40,151"
"Gang Affiliation %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes %","0.6%","0.2%","0.5%",NA,NA,"0.8%","0.2%","0.7%",NA,NA,"11.3%","1.1%","10.3%"
"No %","99.4%","99.8%","99.5%",NA,NA,"99.2%","99.8%","99.3%",NA,NA,"88.7%","98.9%","89.7%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"Sex Offender #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes #","1,690","48","1,738",NA,NA,"1,859","66","1,925",NA,NA,"8,262","131","8,393"
"No #","11,446","2,388","13,834",NA,NA,"13,079","2,638","15,717",NA,NA,"27,883","3,875","31,758"
"Total","13,136","2,436","15,572",NA,NA,"14,938","2,704","17,642",NA,NA,"36,145","4,006","40,151"
"Sex Offender %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes %","12.9%","2.0%","11.2%",NA,NA,"12.4%","2.4%","10.9%",NA,NA,"22.9%","3.3%","20.9%"
"No %","87.1%","98.0%","88.8%",NA,NA,"87.6%","97.6%","89.1%",NA,NA,"77.1%","96.7%","79.1%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"* Mental Health Score #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 1: No need","6,438","724","7,162",NA,NA,"7,002","842","7,844",NA,NA,"15,933","1,039","16,972"
"Score 2: Low need","2,617","437","3,054",NA,NA,"3,241","607","3,848",NA,NA,"10,860","1,140","12,000"
"Score 3: Includes both moderate need and moderate to high inmates","3,276","1,044","4,320",NA,NA,"3,330","974","4,304",NA,NA,"8,809","1,782","10,591"
"Score 4: High need","72","19","91",NA,NA,"152","18","170",NA,NA,"486","29","515"
"Score 5: Acute Need","30","16","46",NA,NA,"39","18","57",NA,NA,"54","14","68"
"Total","12,433","2,240","14,673",NA,NA,"13,765","2,459","16,224",NA,NA,"36,142","4,004","40,146"
"Mental Health Score %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 1: No need","51.8%","32.3%","48.8%",NA,NA,"50.9%","34.2%","48.4%",NA,NA,"44.1%","25.9%","42.3%"
"Score 2: Low need","21.0%","19.5%","20.8%",NA,NA,"23.5%","24.7%","23.7%",NA,NA,"30.0%","28.5%","29.9%"
"Score 3: Includes both moderate need and
moderate to high inmates","26.3%","46.6%","29.4%",NA,NA,"24.2%","39.6%","26.5%",NA,NA,"24.4%","44.5%","26.4%"
"Score 4: High need","0.6%","0.8%","0.6%",NA,NA,"1.1%","0.7%","1.0%",NA,NA,"1.3%","0.7%","1.3%"
"Score 5: Acute Need","0.2%","0.7%","0.3%",NA,NA,"0.3%","0.7%","0.4%",NA,NA,"0.1%","0.3%","0.2%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"* Medical Score #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 1: Maximum sustained physical capacity
consistent with age; no special requirements","5,660","1,646","7,306",NA,NA,"4,297","1,269","5,566",NA,NA,"15,137","2,698","17,835"
"Score 2: Sustained physical capacity consistent with age; stable physical illness or chronic
condition, no special requirements.","5,813","391","6,204",NA,NA,"4,732","352","5,084",NA,NA,"17,473","975","18,448"
"Score 3: Restricted physical capacity; requires
special housing or reasonable accommodations.","575","198","773",NA,NA,"573","143","716",NA,NA,"2,914","321","3,235"
"Score 4: Limited physical capacity and stamina; severe physical illness or chronic condition;
requires housing in a corridor institution.","137","2","139",NA,NA,"138","5","143",NA,NA,"587","6","593"
"Score 5: Severely limited physical capacity and
stamina; requires assistance with Activities of Daily Living (ADLS); requires housing in Inpatient Component or Assisted Living area","3","1","4",NA,NA,"11","1","12",NA,NA,"22","2","24"
"Total","12,188","2,238","14,426",NA,NA,"9,751","1,770","11,521",NA,NA,"36,133","4,002","40,135"
"Medical Score %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Score 1: Maximum sustained physical capacity consistent with age; no special requirements","46.4%","73.5%","50.6%",NA,NA,"44.1%","71.7%","48.3%",NA,NA,"41.9%","67.4%","44.4%"
"Score 2: Sustained physical capacity consistent
with age; stable physical illness or chronic condition, no special requirements.","47.7%","17.5%","43.0%",NA,NA,"48.5%","19.9%","44.1%",NA,NA,"48.4%","24.4%","46.0%"
"Score 3: Restricted physical capacity; requires special housing or reasonable accommodations.","4.7%","8.8%","5.4%",NA,NA,"5.9%","8.1%","6.2%",NA,NA,"8.1%","8.0%","8.1%"
"Score 4: Limited physical capacity and stamina;
severe physical illness or chronic condition; requires housing in a corridor institution.","1.1%","0.1%","1.0%",NA,NA,"1.4%","0.3%","1.2%",NA,NA,"1.6%","0.1%","1.5%"
"Score 5: Severely limited physical capacity and stamina; requires assistance with Activities of Daily Living (ADLS); requires housing in
Inpatient Component or Assisted Living area","0.0%","0.0%","0.0%",NA,NA,"0.1%","0.1%","0.1%",NA,NA,"0.1%","0.0%","0.1%"
"Total","100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%",NA,NA,"100.0%","100.0%","100.0%"
"Inmate Commitment Offenses #",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arson","32","5","37",NA,NA,"37","8","45",NA,NA,"125","13","138"
"Assault","1,641","172","1,813",NA,NA,"1,920","181","2,101",NA,NA,"4,983","400","5,383"
"Auto Theft","628","117","745",NA,NA,"729","125","854",NA,NA,"1,670","243","1,913"
"Burglary/Criminal Trespass","1,022","126","1,148",NA,NA,"1,324","151","1,475",NA,NA,"2,294","189","2,483"
"Child/Adult Abuse","79","35","114",NA,NA,"85","40","125",NA,NA,"207","84","291"
"Child Molestation","142","2","144",NA,NA,"176","2","178",NA,NA,"1,601","18","1,619"
"Criminal Damage","80","5","85",NA,NA,"83","7","90",NA,NA,"138","8","146"
"Domestic Violence","134","14","148",NA,NA,"136","12","148",NA,NA,"146","10","156"
"Drug Offense","4,281","1,039","5,320",NA,NA,"4,652","1,156","5,808",NA,NA,"6,825","1,314","8,139"
"DUI","1,004","227","1,231",NA,NA,"1,168","264","1,432",NA,NA,"1,133","160","1,293"
"Escape","25","6","31",NA,NA,"51","5","56",NA,NA,"134","19","153"
"Forgery","151","76","227",NA,NA,"185","94","279",NA,NA,"217","110","327"
"Fraud","96","40","136",NA,NA,"93","44","137",NA,NA,"171","59","230"
"Identity Theft","114","56","170",NA,NA,"132","80","212",NA,NA,"255","131","386"
"Kidnapping","182","6","188",NA,NA,"227","9","236",NA,NA,"1,231","41","1,272"
"Manslaughter/Neg. Homicide","98","28","126",NA,NA,"89","12","101",NA,NA,"658","109","767"
"Murder","156","15","171",NA,NA,"125","13","138",NA,NA,"2,995","233","3,228"
"Other","565","121","686",NA,NA,"641","130","771",NA,NA,"1,466","215","1,681"
"Rape/Sexual Assault","57","2","59",NA,NA,"64","0","64",NA,NA,"541","6","547"
"Robbery","594","60","654",NA,NA,"695","61","756",NA,NA,"3,362","217","3,579"
"Sex Offense","517","15","532",NA,NA,"501","23","524",NA,NA,"2,959","61","3,020"
"Theft","535","183","718",NA,NA,"604","193","797",NA,NA,"659","228","887"
"Trafficking in Stolen Property","217","33","250",NA,NA,"286","45","331",NA,NA,"498","63","561"
"Arizona Department of Corrections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Admissions, Releases, Confined Population Fact Sheet FY2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"                       Admissions                      ",NA,NA,NA,NA,"                        Releases                        ",NA,NA," End of Fiscal Year Confined Population",NA,NA,NA
NA,"      Male      ","    Female   ","      Total     ",NA,NA,"      Male     ","    Female   ","      Total     ",NA,NA,"      Male     ","    Female   ","      Total     "
"Weapons Offense","623","37","660",NA,NA,"770","40","810",NA,NA,"1,788","74","1,862"
"Total","12,973","2,420","15,393",NA,NA,"14,773","2,695","17,468",NA,NA,"36,058","4,005","40,063"
"Inmate Commitment Offenses %",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arson","0.2%","0.2%","0.2%",NA,NA,"0.3%","0.3%","0.3%",NA,NA,"0.3%","0.3%","0.3%"
"Assault","12.6%","7.1%","11.8%",NA,NA,"13.0%","6.7%","12.0%",NA,NA,"13.8%","10.0%","13.4%"
"Auto Theft","4.8%","4.8%","4.8%",NA,NA,"4.9%","4.6%","4.9%",NA,NA,"4.6%","6.1%","4.8%"
"Burglary/Criminal Trespass","7.9%","5.2%","7.5%",NA,NA,"9.0%","5.6%","8.4%",NA,NA,"6.4%","4.7%","6.2%"
"Child/Adult Abuse","0.6%","1.4%","0.7%",NA,NA,"0.6%","1.5%","0.7%",NA,NA,"0.6%","2.1%","0.7%"
